flock_id,farm_no,house_no,survey_date,season,first_date_placed,last_date_sold,carbon_add_backs,caked_litter,pulled_cake_from_house,house_clean_out,litter_condition,litter_depth,moisture_percent,paw_score,proper_windrowing,litter_intervention,avg_weight,feed_conversion,livability,one_week_mortality,weight_gain_per_day,age_days,head_placed,head_sold,feed_consumed,goal_weight,breed,bird_type,hen_age_weeks,moisture_percent_single,paw_score_single,caked_litter_single,moisture_composite,paw_score_composite,caked_litter_composite,moisture_percent_num,paw_score_num,caked_litter_num,moisture_level,paw_score_level,mortality_rate,feed_efficiency,production_days
1383-110,1383,110,2025-04-02,Spring,2025-03-10,2025-04-30,Done per SOP,Less than 10 % caked,TRUE,More than 5 years since cleanout,None of the above (litter even and clean),Greater than 5 inches,31 – 40 % moisture,50 – 80 % acceptable paws,Performed per SOP,Only 1 intervention used,7.09726506271849,1.76315408240134,93.1609195402,1.4750957854,0.1391620601,51,52200,48630,608535,6.7,ROSS 708,TP,48,31 – 40 % moisture,50 – 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,65,5,High,Acceptable,6.839080459770115,0.5671654054409374,51
5529-47,5529,47,2025-03-28,Winter,2025-02-14,2025-04-04,Done per SOP,11 – 49 % caked,FALSE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,6.6018759407115,1.69552482183839,93.9353932584,2.952247191,0.1371887237,49,106800,100323,1122980,6.7,ROSS 708,ORG,48,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,6.064606741573034,0.589787885803842,49
3702-235,3702,235,2025-04-15,Spring,2025-03-25,2025-05-01,Done per SOP,11 – 49 % caked,FALSE,4 – 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,50 – 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,3.94586738760138,1.52861386138614,95.6517189836,2.7623318386,0.1066450645,37,66900,63991,385975,4.2,ROSS 708,SB,44,31 – 40 % moisture,50 – 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,65,30,High,Acceptable,4.348281016442451,0.654187447373534,37
0896-59,896,59,2024-09-17,Fall,2024-09-03,2024-11-01,Done per SOP,Less than 10 % caked,FALSE,4 – 5 years since cleanout,None of the above (litter even and clean),Less than 3 inches,31 – 40 % moisture,Less than 50 % acceptable paws,Performed per SOP,Acid and disinfect used,9.93363427102329,1.76297059797165,96.4005763689,1.7708933718,0.1683666826,59,69400,66902,1171635,9,ROSS 708,BB,48,31 – 40 % moisture,Less than 50 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,25,5,High,Poor,3.599423631123919,0.5672244342307976,59
5530-42,5530,42,2025-03-31,Spring,2025-03-13,2025-05-05,Done per SOP,11 – 49 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Less than 3 inches,31 – 40 % moisture,50 – 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,6.80130354401028,1.58852798894264,96.7823133378,1.4026202463,0.1395626099,49,65948,63826,689580,6.7,ROSS 708,TP,42,31 – 40 % moisture,50 – 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,65,30,High,Acceptable,3.2176866622187177,0.6295136169842512,53
2685-2,2685,2,2025-03-24,Winter,2025-02-25,2025-04-10,Done per SOP,11 – 49 % caked,FALSE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,None,Only 1 intervention used,6.35634028892456,1.55519174798836,94.6126126126,1.4607464607,0.1444622793,44,77700,73514,726710,6.7,ROSS 708,TP,30,Less than 30 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,15,90,30,Low,Good,5.387387387387387,0.6430075270740728,44
0114-69,114,69,2025-04-08,Spring,2025-03-13,2025-05-05,Done per SOP,11 – 49 % caked,FALSE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,7.04013641961664,1.74777967166054,94.528358209,1.7417910448,0.1349270505,52,67000,63334,779300,6.7,ROSS 708,ORG,44,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,5.471641791044776,0.5721544976260735,53
8227-184,8227,184,2025-04-03,Spring,2025-03-10,2025-04-08,Done per SOP,11 – 49 % caked,TRUE,4 – 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,2.10818516017706,1.43416370106762,98.0073529412,0.9681372549,0.0843274064,25,81600,79974,241800,2,ROSS 308,SB,39,Less than 30 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,15,90,30,Low,Good,1.9926470588235294,0.6972704714640178,29
2853-76,2853,76,2024-09-05,Summer,2024-08-15,2024-09-24,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,4.43901812106413,1.56291256514186,97.0199501247,1.0872817955,0.110975453,40,40100,38905,269915,4.2,ROSS 708,SB,57,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,2.9800498753117206,0.6398310579256451,40
2403-24,2403,24,2025-04-02,Spring,2025-03-11,2025-04-17,Not done,11 – 49 % caked,FALSE,4 – 5 years since cleanout,None of the above (litter even and clean),Greater than 5 inches,31 – 40 % moisture,50 – 80 % acceptable paws,Performed per SOP,Only 1 intervention used,4.69571075679317,1.56114440037134,93.4689871034,2.2070489749,0.1309016357,36,161981,151402,1109880,4.2,ROSS 308,SB,31,31 – 40 % moisture,50 – 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,65,30,High,Acceptable,6.53101289657429,0.6405557357552165,37
5452-60,5452,60,2025-01-22,Winter,2024-12-31,2025-02-18,Not done,Less than 10 % caked,TRUE,4 – 5 years since cleanout,None of the above (litter even and clean),Less than 3 inches,Greater than 40 % moisture,Greater than 80 % acceptable paws,None,Acid and disinfect used,6.86540854417254,1.70929617882495,95.249382716,1.1407407407,0.1400747493,49,81000,77152,905380,6.7,ROSS 708,ORG,39,Greater than 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,45.5,90,5,High,Good,4.750617283950617,0.5850361174313551,49
1832-115,1832,115,2024-10-11,Fall,2024-09-20,2024-10-30,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed per SOP,Only 1 intervention used,5.8756197524135,1.5490419952189,95.401,1.46,0.1506569167,39,100000,95401,868300,4.2,ROSS 308,SB,36,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,4.599,0.6455602902222718,40
